Air_Pollution_Data,
New york,1900
New jersey,1400
District of columbia,1100
california,890
massachusetts,890
maryland,870
delaware,860
pennsylvania,860
connecticut,850
illinois,800
ohio,730
indiana,720
rhode island,670
minnesota,660
georgia,650
michigan,640
virginia,620
louisiana,590
west virginia,560
texas,550
wisconsin,540
kentucky,540
tennessee,520
oregon,520
florida,510
utah,500
washington,490
north carolina,480
new hampshire,470
missouri,460
arizona,440
colorado,440
alabama,400
south carolina,390
nebraska,390
kansas,360
iowa,340
nevada,340
arkansas,330
oklahoma,330
mississippi,320
vermont,270
idaho,260
maine,240
new mexico,230
north dakota,200
south dakota,190
montana,180
wyoming,140
